chr	start	strand	ConMethReadCount	ConUMethReadCount	DisReadCount	NAReadCount
chr1	10497	+	0	0	0	90
chr1	10525	+	0	0	0	90
chr1	136876	+	0	0	0	36
chr1	136895	+	0	0	0	36
chr1	713376	+	0	0	0	19
chr1	713388	+	0	0	0	19
chr1	713400	+	0	0	0	19
chr1	762793	+	0	39	1	3
chr1	762806	+	0	39	1	3
chr1	762809	+	0	39	1	3
chr1	762825	+	0	39	1	0
chr1	805327	+	0	35	2	0
chr1	805338	+	0	35	2	0
chr1	805341	+	0	35	2	0
chr1	805352	+	0	35	2	0
chr1	805467	+	0	30	7	0
chr1	805474	+	0	30	7	0
chr1	805477	+	0	30	7	0
chr1	805479	+	0	30	7	0
chr1	805484	+	0	30	7	0
chr1	805486	+	0	30	7	0
chr1	805498	+	0	30	6	0
chr1	805500	+	0	28	6	0
chr1	833806	+	0	0	0	10
chr1	838295	+	0	0	0	40
chr1	838302	+	0	0	0	40
chr1	838308	+	0	0	0	40
chr1	839355	+	0	0	0	34
chr1	839435	+	0	0	0	39
chr1	839464	+	0	0	0	32
chr1	839516	+	0	0	0	58
chr1	840132	+	0	19	0	0
chr1	840135	+	0	19	0	0
chr1	840142	+	0	19	0	0
chr1	840149	+	0	19	0	0
chr1	840162	+	0	18	0	0
chr1	840319	+	0	9	1	0
chr1	840326	+	0	9	1	0
chr1	840329	+	0	9	1	0
chr1	840331	+	0	9	1	0
chr1	840339	+	0	9	1	0
chr1	842054	+	0	0	0	35
chr1	842143	+	0	0	0	71
chr1	843221	+	0	0	0	30
chr1	843238	+	0	0	0	30
chr1	845247	+	0	8	6	0
chr1	845251	+	0	8	6	0
chr1	845256	+	0	8	6	0
chr1	845271	+	0	8	6	0
chr1	845278	+	0	8	6	0
chr1	845336	+	0	28	6	1
chr1	845339	+	0	28	6	1
chr1	845341	+	0	28	6	1
chr1	845364	+	0	27	6	0
chr1	845367	+	0	27	4	0
chr1	845370	+	0	14	3	0
chr1	845376	+	0	45	14	2
chr1	845390	+	0	45	14	2
chr1	845400	+	0	45	14	2
chr1	845408	+	0	45	14	0
chr1	845588	+	0	28	2	0
chr1	845592	+	0	28	2	0
chr1	845600	+	0	28	2	0
chr1	845615	+	0	28	2	0
chr1	845618	+	0	28	2	0
chr1	845737	+	0	0	0	61
chr1	845752	+	0	0	0	62
chr1	845758	+	0	0	0	62
chr1	845847	+	0	0	0	61
chr1	845877	+	0	0	0	60
chr1	845879	+	0	0	0	58
chr1	847539	+	0	0	0	25
chr1	848508	+	0	0	0	39
chr1	848523	+	0	0	0	39
chr1	848593	+	0	0	0	50
chr1	848609	+	0	0	0	50
chr1	848662	+	0	0	0	24
chr1	851812	+	0	0	0	47
chr1	851915	+	0	0	0	28
chr1	852027	+	0	0	0	14
chr1	852036	+	0	0	0	14
chr1	856351	+	0	0	0	46
chr1	856643	+	0	0	0	96
chr1	856651	+	0	0	0	96
chr1	858979	+	0	51	5	1
chr1	858989	+	0	51	5	1
chr1	859005	+	0	51	5	1
chr1	859010	+	0	51	5	0
chr1	859086	+	0	30	2	3
chr1	859091	+	0	30	2	3
chr1	859093	+	0	29	2	3
chr1	859118	+	0	30	2	0
chr1	859120	+	0	28	2	0
chr1	859205	+	0	57	3	0
chr1	859214	+	0	57	3	0
chr1	859219	+	0	57	3	0
chr1	859223	+	0	57	3	0
chr1	859228	+	0	57	3	0
chr1	859237	+	0	55	3	0
chr1	859239	+	0	50	3	0
chr1	859264	+	0	28	0	7
chr1	859270	+	0	29	0	7
chr1	859293	+	0	29	0	3
chr1	859296	+	0	29	0	1
chr1	859329	+	0	50	0	0
chr1	859333	+	0	50	0	0
chr1	859337	+	0	49	0	0
chr1	859339	+	0	50	0	0
chr1	859341	+	0	50	0	0
chr1	859351	+	0	50	0	0
chr1	859353	+	0	50	0	0
chr1	859530	+	0	85	3	0
chr1	859540	+	0	83	3	0
chr1	859556	+	0	85	3	0
chr1	859559	+	0	81	3	0
chr1	859563	+	0	82	3	0
chr1	859637	+	0	37	1	0
chr1	859650	+	0	37	1	0
chr1	859654	+	0	37	1	0
chr1	859657	+	0	37	1	0
chr1	859659	+	0	37	1	0
chr1	859665	+	0	36	1	0
chr1	859668	+	0	35	1	0
chr1	859837	+	0	42	4	2
chr1	859842	+	0	42	4	2
chr1	859844	+	0	42	4	2
chr1	859870	+	0	42	4	0
chr1	859924	+	0	49	1	0
chr1	859934	+	0	49	1	0
chr1	859936	+	0	49	1	0
chr1	859939	+	0	49	1	0
chr1	859943	+	0	49	1	0
chr1	860354	+	0	53	3	0
chr1	860361	+	0	53	3	0
chr1	860363	+	0	53	3	0
chr1	860370	+	0	53	3	0
chr1	860387	+	0	50	3	0
chr1	860699	+	0	12	1	0
chr1	860705	+	0	12	1	0
chr1	860709	+	0	12	1	0
chr1	860711	+	0	12	1	0
chr1	860713	+	0	12	1	0
chr1	860716	+	0	12	1	0
chr1	860728	+	0	12	1	0
chr1	860840	+	0	16	1	2
chr1	860856	+	0	16	1	2
chr1	860863	+	0	16	1	2
chr1	860870	+	0	16	1	0
chr1	860873	+	0	16	1	0
chr1	861054	+	0	37	4	0
chr1	861064	+	0	37	4	0
chr1	861077	+	0	37	4	0
chr1	861080	+	0	37	4	0
chr1	861099	+	0	0	0	20
chr1	861132	+	0	0	1	18
chr1	863886	+	0	0	0	79
chr1	863916	+	0	0	0	62
chr1	864313	+	0	0	0	47
chr1	864803	+	0	0	0	51
chr1	864819	+	0	0	0	51
chr1	865538	+	0	0	0	42
chr1	865544	+	0	0	0	42
chr1	865567	+	0	0	0	40
chr1	865733	+	0	0	0	29
chr1	865745	+	0	0	0	29
chr1	866640	+	0	0	0	19
chr1	867870	+	0	0	0	91
chr1	867891	+	0	0	0	91
chr1	868475	+	0	0	0	29
chr1	868505	+	0	0	0	29
chr1	870573	+	0	0	0	47
chr1	870584	+	0	0	0	47
chr1	870599	+	0	0	0	46
chr1	870810	+	0	0	0	39
chr1	870822	+	0	0	0	39
chr1	871620	+	0	0	0	10
chr1	871640	+	0	0	0	10
chr1	872335	+	0	0	0	22
chr1	872369	+	0	0	0	22
chr1	872428	+	0	0	0	41
chr1	872445	+	0	0	0	41
chr1	872455	+	0	0	0	41
chr1	872518	+	0	0	0	12
chr1	873092	+	0	0	0	29
chr1	873106	+	0	0	0	29
chr1	873117	+	0	0	0	28
chr1	874638	+	10	6	25	13
chr1	874658	+	10	6	25	12
chr1	874670	+	10	6	25	11
chr1	874672	+	10	6	25	1
chr1	875227	+	0	0	0	31
chr1	875309	+	0	0	0	58
chr1	875314	+	0	0	0	58
chr1	875364	+	0	0	0	17
chr1	875375	+	0	0	0	17
chr1	875388	+	0	0	0	17
chr1	875636	+	0	28	1	0
chr1	875640	+	0	28	1	0
chr1	875650	+	0	29	1	0
chr1	875652	+	0	29	1	0
chr1	875667	+	0	29	1	0
chr1	875669	+	0	27	1	0
chr1	875731	+	0	23	4	0
chr1	875735	+	0	23	4	0
chr1	875741	+	0	22	4	0
chr1	875743	+	0	23	4	0
chr1	875749	+	0	23	4	0
chr1	875759	+	0	23	4	0
chr1	875816	+	0	32	3	0
chr1	875821	+	0	32	3	0
chr1	875834	+	0	32	3	0
chr1	875840	+	0	32	3	0
chr1	875920	+	0	38	1	1
chr1	875924	+	0	38	1	1
chr1	875938	+	0	38	1	1
chr1	875952	+	0	38	1	0
chr1	875954	+	0	32	0	0
chr1	876538	+	0	0	0	28
chr1	876551	+	0	0	0	27
chr1	876807	+	0	10	1	0
